"Compound","mz","rt","221012_DGM_Blank1_1_1_390","221012_DGM_Blank1_1_2_391","221012_DGM_Blank1_1_3_392","221012_DGM_MB1588_3_1_395","221012_DGM_MB1588_3_2_396","221012_DGM_MB1588_3_3_397","221012_DGM_MB1589_4_1_398","221012_DGM_MB1589_4_2_399","221012_DGM_MB1589_4_3_400","221012_DGM_MB1590_5_1_401","221012_DGM_MB1590_5_2_402","221012_DGM_MB1590_5_3_403","221012_DGM_Blank2_1_1_404","221012_DGM_Blank2_1_2_405","221012_DGM_Blank2_1_3_406","221012_DGM_MB1591_6_1_407","221012_DGM_MB1591_6_2_408","221012_DGM_MB1591_6_3_409","221012_DGM_MB1592_7_1_410","221012_DGM_MB1592_7_2_411","221012_DGM_MB1592_7_3_412","221012_DGM_MB1593_8_1_413","221012_DGM_MB1593_8_2_414","221012_DGM_MB1593_8_3_415","221012_DGM_MB1594_9_1_416","221012_DGM_MB1594_9_2_417","221012_DGM_MB1594_9_3_418","221012_DGM_Blank3_1_1_419","221012_DGM_Blank3_1_2_420","221012_DGM_Blank3_1_3_421","221012_DGM_MB1595_10_1_422","221012_DGM_MB1595_10_2_423","221012_DGM_MB1595_10_3_424","221012_DGM_MB1597_11_1_425","221012_DGM_MB1597_11_2_426","221012_DGM_MB1597_11_3_427","221012_DGM_MB1598_12_1_428","221012_DGM_MB1598_12_2_429","221012_DGM_MB1598_12_3_430","221012_DGM_MB1599_13_1_431","221012_DGM_MB1599_13_2_432","221012_DGM_MB1599_13_3_433","221012_DGM_Blank4_1_1_434","221012_DGM_Blank4_1_2_435","221012_DGM_Blank4_1_3_436","kmd"
"428.30507 Da 475.51 s",429.31235,7.93,33506.79297,0,0,12914,0,0,26744.67773,0,0,0,0,31265.98047,7509.737793,30676.16211,33248.82422,27721.35547,0,0,25889.64648,29816.61133,27803.82813,4099.25293,0,0,32593.49023,35693.30469,30497.32422,28790.24805,0,0,33965.86719,29546.01563,27040.92383,0,28486.91016,26501.08594,0,30660.02734,0,28044.15234,0,32150.98047,36239.22656,8306.958984,0,0.312349999999981
"1030.75599 Da 603.93 s",1031.76326,10.07,0,0,0,0,3678.556885,0,0,0,0,0,4997.099609,0,2742.060547,0,2308.265869,0,2573.839844,2082.178223,1462.111572,0,1409.570923,0,0,1363.990234,0,0,0,2137.908447,2413.468262,1629.253296,1825.5271,0,1984.251343,0,0,0,0,0,2234.472412,2053.95752,3197.46167,0,2081.787842,0,1906.680786,0.763259999999946
"752.49322 Da 387.84 s",753.5005,6.46,0,0,0,45338.28906,59176.03125,47537.62891,47591.82422,50428.30078,43143.80859,65175.57031,62882.76563,79209.57813,0,0,0,75546.78906,74162.96875,59718.09766,780221.3125,762215.9375,801093,97602.6875,96452.38281,87085.1875,92610.03125,101443.7891,113482.6328,14913.12988,12734.98047,0,127097.0313,138160.1563,144672.4375,74573.75,67684.75781,68256.88281,230126.5469,261919.1719,255809.5469,101071.8203,114125.7578,132121.25,3120.541748,4328.722656,4133.418457,0.500499999999988
"1055.57654 Da 356.64 s",528.79554,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8887.857422,7160.265137,7589.510254,81557.52344,15341.05957,81387.82031,4573.388184,43989.45703,8276.603516,0,0,0,0.79553999999996
"910.64684 Da 603.98 s",911.65412,10.07,0,0,0,0,6031.378418,8911.27832,13711.98145,9785.432617,6662.897461,0,0,6806.285645,7179.568359,7507.525879,8924.055664,8012.719238,6315.087891,0,6748.510742,7395.030273,5537.727539,5707.222656,2322.227051,7241.462891,6395.769531,7458.624512,0,10743.6084,11444.78711,7912.480957,5692.250488,0,6525.140137,6870.238281,6442.29248,6285.567383,7299.124023,5921.294922,3674.615723,6225.581543,0,11766.26855,11045.47559,9220.120117,0,0.654120000000034
"683.34061 Da 484.96 s",684.34789,8.08,0,0,0,0,6543.285156,0,6856.144043,3709.302246,4892.915527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8715.706055,8491.131836,9574.980469,4584.915527,0,7531.508301,0,0,0,0.347890000000007
"469.30176 Da 429.07 s",470.30903,7.15,0,0,0,7638.438965,0,0,7224.837891,5875.919922,0,9302.393555,7250.77002,9389.975586,0,0,0,14523.35449,7255.98877,10889.25098,46689.68359,72599.54688,44716.30859,0,0,13763.05859,16118.14648,16160.4834,23856.4375,0,0,0,12726.29004,16149.48047,15421.48438,9636.705078,8893.607422,10797.64258,0,0,0,7419.993164,7620.153809,0,2398.922363,0,0,0.309030000000007
"632.39103 Da 603.82 s",655.3819,10.06,0,0,8627.720703,0,2589.217285,10156.33594,0,10739.55664,10179.31348,5678.089844,12773.37305,0,10886.25781,6922.537109,8955.245117,5866.512695,7944.09082,10671.26465,6619.405273,8753.46582,5258.766602,7495.489746,11027.55957,7239.290527,7898.339844,6353.750977,6623.484863,11208.47754,0,10910.8457,8236.131836,11490.7998,12933.84668,7474.275879,8669.857422,6019.949707,0,7002.407227,0,8891.641602,7950.285156,9524.185547,6484.36084,8185.76709,4993.381836,0.381899999999973
"425.38214 Da 486.80 s",426.38942,8.11,5976.357422,0,6075.79834,4533.105469,7943.396973,0,7915.019531,4106.46875,4560.23291,2760.60376,7825.228516,12313.92676,3577.351074,0,8361.225586,0,6518.268066,7323.312012,1496.028809,1573.261353,1912.94812,3120.725586,3296.35376,8166.779297,7521.360352,2701.883301,1922.720459,2990.477783,0,1432.275024,0,1317.019531,1112.642822,1909.04248,2974.148682,2054.344238,0,2710.320801,0,2272.214111,0,4647.930176,3653.865234,4057.626709,3678.608398,0.389419999999973
"401.26688 Da 418.99 s",402.27416,6.98,0,0,0,0,0,0,0,0,0,0,2436.881836,0,0,0,0,0,0,0,3517.904785,4913.137695,2973.860107,0,0,0,0,0,0,0,0,0,0,0,0,8891.436523,8877.761719,8011.831055,0,0,0,5175.262207,0,8065.25,0,0,0,0.274159999999995
