"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
433,330.03,353.18729,,,,ION=[M+H]+,,,10382.24,6297.49,7367.36,25.35,10382.24,8484.87,7741.66,7617.49,6742.94
434,332.74,511.49626,,,,ION=[M+H]+,,,24212.26,21927.88,17619.51,24212.26,18769.72,22801.66,18365.79,19031.72,15461.02
435,336.17,276.17292,17.077,"cyclandelate","C17H24O3",ION=[M+H]+,,"456-59-7",5305.55,2759.40,5007.51,3255.07,2607.16,2415.98,4712.19,5004.79,5305.55
436,336.41,575.40356,,,,ION=[M+H]+,,,16323.80,3688.28,6159.21,3416.16,3870.26,3778.42,310.38,1843.45,16323.80
437,336.56,364.12866,,,,ION=[M+H]+,,,18986.32,15786.13,12811.82,16393.46,14670.54,16294.38,18986.32,8631.77,10817.37
438,337.12,307.27188,,,,ION=[M+H]+,,,16662.04,6030.55,7407.93,8270.63,4206.99,5614.04,16662.04,2429.16,3132.59
439,337.29,531.37728,,,,ION=[M+H]+,,,20087.63,5246.09,7002.75,4860.76,5480.24,5397.29,0.00,920.62,20087.63
440,337.37,334.27172,,,,ION=[M+H]+,,,12632.45,4878.34,7964.88,5714.93,4311.58,4608.51,12632.45,4747.99,6514.22
441,338.01,487.35032,,,,ION=[M+H]+,,,14840.55,5187.25,5767.33,4826.32,5464.93,5270.51,1486.60,974.82,14840.55
442,339.18,218.16752,,,,ION=[M+H]+,,,8391.44,2347.89,6170.33,1379.06,2709.16,2955.44,4018.22,6101.32,8391.44
443,339.41,164.10608,,,,ION=[M+H]+,,,128991.66,82828.86,54260.55,0.00,119494.91,128991.66,71847.54,3611.15,87322.98
444,339.84,428.39722,,,,ION=[M+H]+,,,29334.83,13435.01,27192.48,40.43,14706.77,25557.84,24587.89,29334.83,27654.73
445,340.32,337.33464,,,,ION=[M+H]+,,,207885.66,135688.72,158845.08,3646.12,207885.66,195534.38,158731.61,154153.48,163650.16
446,341.28,747.47673,26.564,"Clarithromycin","C38H69NO13",ION=[M+H]+,"C06912","81103-11-9",4626075.00,6164.08,3877185.58,18492.25,0.00,0.00,2883612.50,4626075.00,4121869.25
447,341.46,100.06355,NA,"N-Nitrosopyrrolidine","C4H8N2O",ION=[M+H]+,,"930-55-2",81147.56,46585.36,54015.07,65790.92,70114.12,3851.05,81147.56,0.00,80897.65
448,343.04,222.05661,68.446,"9H-Purine-6-thiol, 9-(tetrahydro-2-furyl)-","C9H10N4OS",ION=[M+H]+,,,7485.02,7014.60,2992.19,6796.22,7485.02,6762.58,956.13,642.97,7377.46
449,343.15,405.27344,31.024,"N-cyclohexyl-4-oxo-8-(3-propan-2-yl-1,2,4-oxadiazol-5-yl)-1,5-diazacycloundecane-1-carboxamide","C21H35N5O3",ION=[M+H]+,,,44338.17,5446.39,17316.48,7580.40,3508.72,5250.03,44338.17,2852.09,4759.18
450,343.16,296.07580,,,,ION=[M+H]+,,,12045.08,9440.84,4264.22,9109.62,10002.95,9209.94,651.57,96.02,12045.08
451,343.16,354.06272,,,,ION=[M+H]+,,,13681.48,10232.87,5544.71,11253.76,9516.58,9928.26,1423.73,1528.94,13681.48
452,344.52,56.06234,,,,ION=[M+H]+,,,53969.78,36619.51,24662.80,37885.79,53969.78,18002.96,32545.80,19584.02,21858.57
453,345.14,148.01616,5.548,"Phthalic anhydride","C8H4O3",ION=[M+H]+,,"85-44-9",35181.36,25912.58,32280.35,28438.46,23404.29,25894.97,35181.36,30072.66,31587.02
454,345.22,204.07896,,,,ION=[M+H]+,,,25875.67,17912.37,23889.70,19439.30,17879.52,16418.28,25875.67,23786.11,22007.30
455,345.71,639.58066,23.887,"Cer 27:1;3O/12:0;(2OH)","C39H77NO5",ION=[M+H]+,,,17219.50,12171.07,8637.88,17219.50,12325.63,6968.08,9709.40,8170.16,8034.09
456,347.10,539.52759,,,,ION=[M+H]+,,,29347.09,27537.17,23306.35,29347.09,28800.47,24463.95,27442.79,21783.58,20692.68
457,349.29,155.13091,27.893,"1-Cyclohexyl-2-aziridinemethanol","C9H17NO",ION=[M+H]+,,,7425.58,6330.67,5627.12,6076.33,7425.58,5490.09,4785.47,5548.83,6547.06
458,349.56,345.26513,NA,"HIMBACINE","C22H35NO2",ION=[M+H]+,"C10598","6879-74-9",8451.97,956.69,8022.72,731.68,751.51,1386.87,7790.09,8451.97,7826.11
459,351.02,298.10326,,,,ION=[M+H]+,,,481858.25,62220.79,399329.76,43448.75,49274.88,93938.76,313090.59,481858.25,403040.44
460,352.69,123.07926,10.289,"3,3'-Iminobispropanenitrile","C6H9N3",ION=[M+H]+,,,1156795.75,880174.88,993205.54,755389.94,728338.94,1156795.75,915505.19,1129667.00,934444.44
461,353.87,541.41878,,,,ION=[M+H]+,,,8585.56,5713.25,7556.53,4057.37,5906.91,7175.46,8585.56,5765.41,8318.62
462,354.44,677.46982,,,,ION=[M+H]+,,,6708.93,375.38,5296.53,0.00,110.41,1015.74,6708.93,4088.47,5092.18
463,354.96,124.08300,,,,ION=[M+H]+,,,71882.47,47558.32,25296.81,5158.36,71882.47,65634.13,2814.65,6925.95,66149.83
464,355.18,497.39163,,,,ION=[M+H]+,,,12986.78,6625.14,10408.28,6213.52,9339.76,4322.13,12986.78,9527.03,8711.03
465,355.41,633.44524,23.368,"HexCer 15:1;3O/12:0;(2OH)","C33H63NO10",ION=[M+H]+,,,6323.95,1971.94,5787.21,2341.86,1705.82,1868.14,5826.41,6323.95,5211.28
466,355.41,453.36626,,,,ION=[M+H]+,,,12941.05,7371.05,10371.37,5215.16,7795.84,9102.17,12941.05,8676.83,9496.23
