"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","newJC1_Blank-expanded-gradient_MeanIntensity","newJC1_Coculture-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_Coculture-0-25-mg_mL-expanded-gradient_MeanIntensity","X121523_Blank_expanded_gradient_73_1_6075","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6077","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6080","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6081","X121523_Blank_expanded_gradient_73_1_6082","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6083","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6085","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6088","X121523_Blank_expanded_gradient_73_1_6089","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6090","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6094","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6095"
3670,426.35,447.2364,197.73628,20.599,"","C20H25N13","ION=[M+H]+","","",1980.66,0,0,178.89,1683.82,0,0,0,0,0,0,1980.66,0,0,0,0,0,0,0,1492.73,0,0,0,536.66,0,1578.07,0,0,0
3671,425.43,292.15233,205.36555,14.034,"","C13H24O7","ION=[M+H]+","","",1993.64,0,1919.72,0,0,0,0,598.93,0,1904.61,0,0,0,0,599.83,0,536.75,1993.64,0,0,0,0,0,0,1860.9,0,0,660.22,0
3672,426.74,692.35172,243.18497,40.735,"NPA009457","C35H52N2O12","ION=[M+H]+","","",3696.78,0,0,808.42,3163.71,3589.63,863.42,0,0,0,876.89,3221.12,3696.78,854.17,0,0,0,0,800.21,3031.94,3664.02,828.66,0,748.15,0,3238.09,3408.08,0,907.44
3673,426.07,557.26866,217.35399,28.605,"","C22H27N19","ION=[M+H]+","","",2243.48,0,2032.08,0,0,0,0,653.4,0,1844.41,0,0,0,0,579.21,0,594.45,2008.36,0,0,0,0,0,0,2243.48,0,0,786.56,0
3674,427.04,226.10939,190.10039,26.688,"NPA017562","C14H14N2O","ION=[M+H]+","","",6132.33,0,5844.65,0,0,0,0,1943.56,0,5707.52,0,0,0,0,2085.12,0,1825.48,6132.33,0,0,0,0,0,0,5694.1,0,0,1920.1,0
3675,425.65,451.24233,201.58067,42.428,"","C21H33N5O6","ION=[M+H]+","","",7294.33,0,6768.67,0,0,0,0,2331.97,0,6228,0,0,0,0,2516.46,0,2040.17,7294.33,0,0,0,0,0,0,6783.66,0,0,2439.28,0
3676,426.74,254.10421,189.19861,66.898,"NPA016490","C15H14N2O2","ION=[M+H]+","","",1535.56,0,1444.06,0,0,0,0,0,0,1492.26,0,0,0,0,0,0,0,1535.56,0,0,0,0,0,0,1304.36,0,0,0,0
3677,426.72,437.15535,187.37862,22.679,"","C18H23N5O8","ION=[M+H]+","","",1882.54,0,1138.72,0,0,0,0,626.69,0,0,0,0,0,0,574.83,0,730.84,1882.54,0,0,0,0,0,0,1533.63,0,0,574.4,0
3678,427.04,621.37384,242.23903,42.07,"","C26H48N13O3P","ION=[M+H]+","","",1650.25,0,1525.19,0,0,0,0,0,0,1377.95,0,0,0,0,0,0,0,1650.25,0,0,0,0,0,0,1547.36,0,0,0,0
3679,427.7,780.43625,260.30414,16.641,"Digoxin","C41H64O14","ION=[M+H]+","","",2146.42,0,0,526.01,1859.77,1993.38,463.07,0,0,0,577.71,1882.77,2146.42,399.14,0,0,0,0,472.05,1668.59,1971.86,498.07,0,528.27,0,2027.95,1861.87,0,492.02
3680,425.36,1152.61611,356.0783,14.33,"","C53H102O20P2S","ION=[M+H+H]2+","","",3759.12,0,0,716.54,3073.08,2400.63,1049.54,0,0,0,1024.58,2988.73,0,963,0,0,0,0,0,3185.85,3442.78,1022.91,0,1125.03,0,3044.66,3759.12,0,1162.7
3681,425.94,537.35185,221.53554,78.679,"","C23H48KN9O3","ION=[M+H]+","","",9738.45,0,0,2646.78,7660.82,9678.18,2876.24,0,0,0,2597.98,7569.94,9615.99,2975.74,0,0,0,0,2756.12,7793.99,9738.45,2919.59,0,2586.24,0,7618.51,9680.1,0,2733.38
3682,427.03,437.15595,195.25471,21.158,"","C19H19N9O4","ION=[M+H]+","","",1672.39,0,1603.46,0,0,0,0,186.39,0,1507.56,0,0,0,0,559.16,0,0,1672.39,0,0,0,0,0,0,1630.42,0,0,0,0
3683,428.74,331.13698,173.89923,7.386,"","C10H13N13O","ION=[M+H]+","","",1869.11,0,0,0,0,1798.61,144.97,0,0,0,0,0,1763.56,434.91,0,0,0,0,0,0,1763.16,0,0,0,0,0,1869.11,0,0
3684,427.12,397.16316,184.8553,26.52,"NPA027841","C21H23N3O5","ION=[M+H]+","","",4635.22,0,4335.26,0,0,0,0,1445.5,0,3844.05,0,0,0,0,1618.28,0,1482.64,4526.51,0,0,0,0,0,0,4635.22,0,0,1235.57,0
3685,428.66,1111.59105,337.17023,7.323,"","C55H86N9O11PS","ION=[M+H+H]2+","","",7492.49,0,0,1078.41,5508.25,6849.21,536.9,0,0,0,0,5696.87,6605.57,1610.69,0,0,0,0,1706.74,4950.69,7492.49,0,0,1528.49,0,5877.19,6449.56,0,0
3686,428.82,331.13729,180.47076,17.558,"","C13H21N3O7","ION=[M+H]+","","",2088.39,0,0,682.21,1630.36,1945.52,797.77,0,0,0,728.5,1556.07,2088.39,835.01,0,0,0,0,667.48,1635.44,1808.56,835.32,0,650.64,0,1699.58,1939.61,0,722.98
3687,427.81,438.28364,198.24707,31.536,"","C22H38N4O5","ION=[M+H]+","","",2202.1,0,0,710.77,1978.38,2115.37,676.74,0,0,0,758,1892.03,2124.15,596.29,0,0,0,0,644.12,2111.34,2019.88,783.56,0,730.18,0,1931.77,2202.1,0,650.36
