"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"160","mz84.95979rt0.59","84.959786","0.590666666666667","omu248","",11462.18,10039.9,8271.4,60971.92,66689.93,62018.57
"161","","71.529686","0.592","","",4788.37,4932.02,3228.33,12966.83,14532.23,13387.49
"168","","82.013946","0.6215","","",1771.6,1696.57,1173.96,5095.48,5348.61,4574.68
"171","","214.918196","0.626833333333333","","",447.44,938.52,0,8056.92,7938.08,7450.22
"172","","38.963156","0.6485","","",5918.44,13358.87,11102.73,21165.88,21296.98,27581.48
"173","mz239.16201rt0.65","239.162016","0.6485","omu210","",588590.44,567259.63,497415.16,134568.67,140786.59,23445.4
"174","mz309.20379rt0.65","309.203786","0.653666666666667","omu4","",114049.21,110655.04,11183.16,24815.96,25914.65,37758.92
"175","mz213.1465rt0.67","213.146496","0.669333333333333","omu211","",12702.83,22770.18,6404.74,56241.9,47720.23,8405.67
"176","mz171.0995rt0.67","171.099496","0.672166666666667","omu200","",18877.99,8430.08,9208.59,54182.38,49253.17,8325.95
"177","","252.125106","0.686","","",0,14.64,96.04,3311.99,3727.92,3209.52
"178","","271.119466","0.724166666666667","","",52.82,0,0,202127.47,215190.28,211087.5
"179","","151.983606","0.740333333333333","","",0,27.39,52.64,4922.32,5945.8,5708.18
"180","","139.086606","0.745833333333333","","",0,483.74,540.61,35544.12,50803.88,41006.8
"181","mz263.01344rt0.76","263.013436","0.757","omu5","",0,0,44.04,12604.05,12620.44,12877.17
"182","mz282.04941rt0.77","282.049406","0.773666666666667","omu213","",38.66,65.26,86.22,7034.25,6277.26,5916.17
"183","","70.074726","0.806666666666667","","",459.44,299.77,0,103974.61,120160.2,97174.77
"184","","142.966216","0.811666666666667","","",28582.77,19325.74,16485.76,75.54,3098.37,1814.44
"185","mz194.1178rt0.81","194.117806","0.811833333333333","omu214","4-(Diethylamino)salicylaldehyde,3,4-Methylenedioxy-N-methylamphetamine (MDMA),3,4,5-Trimethacarb,3,4-Methylenedioxymethamphetamine",11870.32,11666.14,11190.93,67.66,2228.6,1814.89
"186","","471.790556","0.822666666666667","","",0,90.83,42.4,3052.99,2760.28,2026.51
"187","","117.055026","0.836","","",0,49.73,0,19594.55,25690.81,21031.14
"188","mz126.97113rt0.85","126.971126","0.845333333333333","omu321","",18654.09,30423.54,24230.84,0,3699.55,3526.59
"189","mz59.04906rt0.46","59.049106","1.105","omu215","",191639.61,31999.28,27349.38,76059.01,92962.21,8315.01
"190","mz215.01672rt1.12","215.016716","1.12033333333333","omu6","",0,0,146.79,56392.8,144534.03,138222.44
"191","mz366.96585rt1.14","366.965846","1.1425","omu7","",0,0,167.18,11821.04,8387.81,6182.27
"192","mz129.01808rt1.16","129.018076","1.15866666666667","omu235","",116.06,27.14,56.06,24970.19,18854.85,18654.55
"193","mz186.03894rt1.22","186.038936","1.217","omu216","",0,0,115.34,47519.93,46976.79,52193.91
"194","mz407.14231rt1.22","407.142306","1.222","omu8","",23.23,0,0,16162.84,34709.91,34856.84
"195","mz327.10652rt1.22","327.106526","1.222","omu9","",0,36.05,0,18921.13,10283.29,11811.79
"196","","245.095296","1.27316666666667","","",122.15,0,0,63264.4,257051.28,328448.41
"197","","96.008096","1.27333333333333","","",7815.14,1187.28,6821.32,17384.69,9419.77,8538.04
"198","","97.028286","1.27583333333333","","",3923.63,0,8839.37,9731.7,12084.17,8209.43
"200","","254.150026","1.33333333333333","","",72.3,0,0,5880.66,19485.61,18749.43
"201","mz108.04431rt1.39","108.044306","1.3885","omu10","",0,0,44.18,24428.97,60839.74,56988.66
"202","mz116.07085rt0.8","116.070756","1.46083333333333","omu223","L-Proline,L-Ornithine,Proline,L-Proline standard",0,110.15,43.06,261953.09,396635.81,322966.88
"203","mz173.07873rt1.62","173.078736","1.616","omu200","",346744.03,129775.97,16872.99,0,3512.63,3470.06
"204","mz194.11763rt1.67","194.117626","1.66966666666667","omu214","",39404.27,40977.47,235948.73,118.02,23190.49,24867.7
"205","mz59.04906rt0.46","59.048986","1.8045","omu215","",58255.3,613772.31,5880.99,273212.44,409198.38,350554.78
"206","mz186.95649rt1.84","186.956496","1.844","omu216","",21103.9,416816.75,6161.6,18533.24,98266.13,85019.76
"207","mz239.16175rt1.87","239.161756","1.86933333333333","omu210","",20026.82,19943.07,28931,47517.84,36511.93,35666.32
"208","","42.033776","1.88616666666667","","",8905.72,277201.59,0,227643.88,141266.86,135965.63
"209","mz145.92978rt1.9","145.929786","1.89533333333333","omu217","",4896.23,2150.48,8637.42,51230.64,35086.75,30922.07
"210","mz154.04994rt1.95","154.049936","1.95316666666667","omu218","Salicylhydroxamic acid,Mesalazine,5-Aminosalicylic acid,4-Aminosalicylic acid",238.21,29.08,0,52904.1,157060.33,151039.83
"211","mz217.10542rt1.96","217.105416","1.96383333333333","omu219","",30747.92,48744.96,31762.12,75480.7,24959.28,27100.96
"212","mz201.1099rt2.16","201.109896","2.1585","omu220","",84278.3,80972.63,83211.09,2413.9,2007.44,0
"213","mz146.06036rt2.16","146.060356","2.15916666666667","omu11","3-Formylindole,Indole-3-aldehyde,Indole-3-carboxyaldehyde,4-Hydroxyquinoline",23.92,30.67,53.74,30711.9,381947.44,384369.53
"214","","144.081166","2.15916666666667","","",616.92,919.75,259.93,6205.83,91121.59,93168.38
"215","mz188.07126rt2.16","188.071256","2.1645","omu12","L-Tryptophan",39.25,0,0,940035,4523535,4572038.5
"216","","138.123576","2.17366666666667","","",53.86,81.78,0,30858.27,36665.67,37515.91
"217","","121.028456","2.17616666666667","","",801.08,0,2789.28,15837.86,14839.25,15683.17
"218","","77.013006","2.17883333333333","","",28.29,0,0,8929.21,6720.89,6582.39
"219","mz328.01457rt2.18","328.014576","2.18133333333333","omu221","",103.14,15.95,98.21,28256.02,16701.05,17991.53
"220","","65.038246","2.18133333333333","","",41.08,0,0,8254.94,6831.9,6656.03
"221","mz300.20097rt2.22","300.200976","2.22016666666667","omu13","",7154.95,6664.55,7085.85,767.85,1548.58,1839.5
"222","mz135.10165rt2.26","135.101656","2.2555","omu222","",341237.66,509166.91,366888.06,14230,26513.77,25597.06
"223","mz205.06085rt2.32","205.060856","2.31766666666667","omu240","",160.37,136.59,0,5424.17,6076.86,6775.01
"224","mz344.22821rt2.33","344.228206","2.32583333333333","omu14","",11976.15,12751.47,11158.59,1930.85,8665.54,17817.75
"225","mz114.09091rt2.38","114.090906","2.37583333333333","omu232","1-Ethyl-2-pyrrolidinone,Caprolactam",47914.21,47868.5,57798.27,17350.49,48704.37,47470.56
"226","mz388.25397rt2.4","388.253976","2.39866666666667","omu15","",12573.02,12791.95,13335.15,9940.82,12121.17,19003.08
"227","mz432.28046rt2.48","432.280456","2.478","omu16","",11751.26,11717.78,13496.59,10310.41,12742.18,16990.04
"228","mz255.26824rt2.51","255.268246","2.50666666666667","omu290","",51431.18,45819.69,40341.23,17666.42,17166.48,1234.25
"229","mz922.0095rt2.51","922.009506","2.50983333333333","omu225","",169638.72,154755.69,150977.73,67225.66,65897.45,0
"230","mz171.09928rt2.53","171.099286","2.5265","omu200","",67948.15,53693.69,57111.85,32262.76,14122.33,15461.17
"231","mz215.12562rt2.53","215.125616","2.53016666666667","omu211","",26840.47,23274.57,24817.13,11322.36,6264.25,6538.85
"233","mz213.10998rt2.53","213.109976","2.5325","omu326","",21874.51,11306.06,13072.85,0,6348.81,5277.04
"235","mz186.95642rt2.55","186.956416","2.545","omu216","",21551.59,518677.81,576366.81,143608.47,84671.14,84812.44
"236","mz168.06569rt2.56","168.065686","2.55516666666667","omu17","acetaminophen_BTP_M1,Gravidox,Pyridoxine,3-Hydroxyacetaminophen",44.7,46.3,0,263162.31,14911.16,15424.99
"237","","159.102466","2.5785","","",188.79,220.99,379.35,40180.4,38480.78,39854.37
"238","mz115.07517rt2.58","115.075176","2.57883333333333","omu18","trans-2-Hexenoic acid",0,2872.61,0,651730.63,652030.44,683716.25
"240","mz158.11871rt2.58","158.118706","2.58383333333333","omu201","",156.02,73.24,54.03,71424.26,70964.73,75555.9
"242","mz89.05915rt2.63","89.059146","2.62533333333333","omu226","",3786.74,6723.98,5088.32,44527.43,70546.45,75022.07
"244","mz96.00889rt2.64","96.008896","2.63583333333333","omu324","",5401.21,5692.11,0,34979.84,36001.09,31077.98
"249","mz84.95941rt2.73","84.959406","2.73383333333333","omu248","",705.01,0,2978.29,45221.36,44596.64,40859.98
"251","mz1221.99069rt2.84","1221.990686","2.83683333333333","omu203","",52494.59,49344.33,43898.95,38458.13,39361.26,0
"252","mz218.21153rt2.88","218.211526","2.88233333333333","omu228","",34121.39,34055.9,31135.72,17779.02,16449.16,17667.97
"254","","157.084266","2.91333333333333","","",46937.47,38967.29,0,30761.93,30154.1,27567.47
"255","mz273.16703rt2.98","273.167036","2.98483333333333","omu236","",15888.57,15739.87,14387.78,10265.82,10252.64,9507.71
"256","mz186.22167rt3.03","186.221676","3.02916666666667","omu216","Dodecylamine",4315.29,3877.86,4655.4,3948.7,4252.44,4469.57
"257","mz144.10196rt3.07","144.101956","3.0675","omu217","",27.5,97.74,173.03,4866.85,4281.21,4511.35
"258","","736.506116","3.12133333333333","","",60.74,0,14.96,17528.83,11029.75,8748.39
"260","","735.502326","3.15933333333333","","",60.96,0,0,22144.79,17767.89,19480.74
"261","mz149.04517rt3.16","149.045166","3.161","omu325","",5412.61,4747.35,4886.51,461.47,1129.49,4253.27
"262","mz279.12035rt3.21","279.120346","3.20533333333333","omu19","2,7-Acetylaminofluorene,Dehydrocyclopeptine,Cyclopeptin",9506.34,9244.57,10166.14,0,312.3,474.86
"263","mz299.08166rt3.21","299.081666","3.21333333333333","omu20","",19.13,105.44,0,33864.24,35301.53,36373.23
"264","mz75.04382rt3.21","75.043816","3.21333333333333","omu21","",107.51,229.18,290.59,31982.98,29897.06,28943.97
"265","mz258.05501rt3.22","258.055006","3.216","omu229","",19.77,43.74,45.97,11555.3,12088.39,12553.59
"266","","155.986866","3.216","","",0,20.94,0,5347.6,5744.17,6357.16
"267","","57.069826","3.21916666666667","","",25508.6,741885.88,1183003.63,74025.55,71286.93,60177.69
"268","","45.033426","3.2255","","",90870.35,85633.3,93879.2,56306.06,53632.32,50781.43
"269","mz198.14943rt3.24","198.149426","3.23733333333333","omu220","",4958.63,5015.17,4973.67,2829.38,3295.17,3176.12
"270","","55.054076","3.27133333333333","","",329759,336267.25,494690,37161.57,110483.69,109497.33
"271","mz748.48381rt3.28","748.483806","3.2805","omu233","Clarithromycin",702.76,513.78,36.85,112971.13,110705.15,101876.73
"272","mz158.11736rt3.31","158.117366","3.3105","omu201","2-(Dimethylamino)ethyl methacrylate",111.84,185.89,157.53,26641.29,52444.55,45890.66
"273","","717.461006","3.3105","","",315.91,294.81,0,4649363,4542059.5,4651337.5
"274","mz246.2431rt3.31","246.243106","3.31166666666667","omu230","",307371.91,343229.41,352250.25,60461.95,59180.81,60999.51
"275","mz202.21704rt3.33","202.217036","3.32616666666667","omu261","",5649.34,5758.92,5536.21,1348.88,683.72,1406.56
"276","mz182.15423rt3.35","182.154226","3.34733333333333","omu231","",6533.22,5838.19,7783.86,1452.55,1580.45,1619.73
"277","mz115.07526rt3.39","115.075256","3.38733333333333","omu232","trans-2-Hexenoic acid",1070.8,0,0,32586.93,33270.63,32493.87
"278","mz748.48937rt3.43","748.489366","3.42533333333333","omu233","Clarithromycin",152.42,0,238.4,16995228,17319224,17277256
"279","mz233.07848rt3.43","233.078476","3.42883333333333","omu22","",6239.06,6542.51,6957.82,0,61.48,96.23
"280","mz69.03319rt3.5","69.033186","3.49833333333333","omu23","",0,1261.63,46.69,3538,3010.52,4033.75
"281","mz212.16479rt3.51","212.164796","3.505","omu234","",4489.69,5462.58,6418.54,5000.33,5791.41,5130.79
"282","mz285.09464rt3.6","285.094636","3.5965","omu251","",4750.73,5848.71,5925.98,0,37.69,50.83
"283","","375.282216","3.609","","",1041.72,0,0,6254.38,9144.62,9500.91
"284","mz256.15449rt3.64","256.154486","3.6435","omu224","Dimethametryn",4394.37,5730.09,5578.57,2568.06,1891.43,1546.08
"285","mz130.96615rt3.67","130.966146","3.6695","omu235","",477636.41,19292.66,9644.64,65777.41,78525.36,77684.79
"286","mz274.27426rt3.68","274.274256","3.6825","omu236","Lauryldiethanolamine",24973.26,22897.26,28605.03,18990.34,33318.06,45080.11
"288","mz230.2479rt3.7","230.247906","3.702","omu237","",3215.07,3081.64,3447.54,3932.37,3727,3526.74
"289","mz290.26946rt3.72","290.269466","3.72433333333333","omu24","",7892.36,7003.08,8212.67,7207.64,7660.01,6856.21
"291","mz263.12565rt3.76","263.125646","3.76083333333333","omu25","",5568.19,5477.72,8265.56,4070.01,3730.21,1653.11
