Compound,mz,rt,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12871,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12872,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12873,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12912,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12938,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12966,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12909,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12935,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12964,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12913,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12931,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12960,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12910,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12933,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12957,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12914,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12940,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12963,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12911,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12936,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12958,kmd
338.33321 Da 322.36 s,339.34049,5.37,2863.234863,2588.837891,2561.572021,3908.203125,3504.272461,3641.361328,5127.070801,5602.390137,4014.112793,3690.961182,3925.219238,3350.270996,4228.982422,4469.5625,5435.634277,2899.661621,2720.477783,2583.254395,0,4139.34375,4176.831543,0.340489999999988
719.39407 Da 322.42 s,720.40135,5.37,0,0,0,545.7983398,0,426.9190063,4179.963867,4764.599609,5310.099609,0,0,0,0,0,0,0,0,162.645874,966.711853,0,1211.975342,0.401349999999979
453.27096 Da 322.52 s,454.27824,5.38,0,0,0,14680.84668,3718.709229,3759.83252,0,0,0,3237.972412,0,0,14192.47559,0,2980.024902,0,1327.864624,1798.848755,17134.13672,11958.96289,16332.29492,0.278239999999983
320.30442 Da 323.23 s,321.31169,5.39,0,0,0,5223.240234,1096.587646,1076.77478,0,0,0,880.5564575,0,0,1889.051025,0,0,663.694519,338.530365,519.0601196,3792.469238,3241.578613,3312.246094,0.311689999999999
553.19436 Da 322.79 s,554.20163,5.38,0,0,0,2372.588379,505.4108887,557.770813,0,0,0,566.3637695,0,0,0,0,0,458.1073303,0,269.3074646,2024.249268,1480.716309,1795.313965,0.201630000000023
412.24423 Da 322.93 s,413.25151,5.38,0,0,0,9701.265625,2213.701172,2572.952637,0,0,0,2056.962402,0,0,7551.313965,0,0,2032.089966,809.1945801,1445.651855,9962.876953,7326.94043,9132.216797,0.251509999999996
455.26748 Da 323.82 s,456.27476,5.4,0,0,0,6517.138672,1635.536987,1674.501953,0,0,0,1477.162964,0,380.6165161,4496.488281,0,0,1513.36084,522.7139282,0,7546.505371,5329.546387,5950.55957,0.274760000000015
482.35527 Da 323.72 s,483.36255,5.4,0,0,0,3201.14917,0,0,0,0,0,0,0,0,0,0,0,0,0,477.6148376,0,0,0,0.362549999999999
242.87458 Da 322.61 s,243.88186,5.38,0,0,0,0,0,0,0,15782.62012,13705.32715,22526.69336,22084.75195,22534.66602,0,20700.75391,0,0,0,0,0,0,0,0.881859999999989
334.26835 Da 322.76 s,335.27563,5.38,1609.725098,1965.505005,1897.78418,1946.666016,2040.418213,1749.445923,3729.183838,3577.883057,2675.626221,1995.819092,2029.05896,1799.253418,4380.342773,2808.177002,4212.640137,1788.912109,1796.622314,1493.186646,3031.505371,2212.248779,2346.45752,0.275629999999978
677.38074 Da 322.76 s,678.38802,5.38,0,0,0,0,731.1311646,728.7607422,5952.372559,6664.21875,5503.798828,0,0,0,0,0,0,274.4526978,0,0,0,0,0,0.388019999999983
715.39661 Da 322.77 s,716.40388,5.38,0,0,0,0,0,0,3373.161621,3861.984863,4392.807129,0,0,0,0,0,0,0,0,0,0,0,0,0.403879999999958
479.29565 Da 323.92 s,480.30307,5.4,0,0,0,1765.050903,2300.21875,2634.080566,13592.18945,11880.45508,14243.31641,5756.830566,14016.86133,1340.092407,10011.4502,10851.28906,9462.926758,1701.177124,1987.745361,2164.755859,11970.48828,12117.19043,15124.20215,0.303069999999991
595.34119 Da 323.44 s,596.34888,5.39,0,0,0,12630.07422,13227.02441,13562.59375,139881.0156,131462.3125,136291.5781,360.660675,0,0,963.5842285,0,0,2708.790039,2772.987549,3312.972656,27223.55273,25462.94141,31569.95117,0.348880000000008
665.38280 Da 324.31 s,666.38972,5.41,0,0,0,3139.179932,2980.32373,3047.716797,32404.28711,30548.19531,30542.5332,0,0,0,0,0,0,785.7528076,779.4924927,695.9398193,7100.62793,7168.706543,7837.624023,0.389720000000011
