"Bucket label","RT","m/z","Formula","121523_Blank_expanded_gradient_73_1_6075","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6077","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6080","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6081","121523_Blank_expanded_gradient_73_1_6082","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6083","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6085","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6088","121523_Blank_expanded_gradient_73_1_6089","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6090","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6094","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6095"
"newJC1",,,,"Blank expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Blank expanded gradient","Coculture 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Blank expanded gradient","JC1 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient"
"757.33843 Da 334.43 s",5.573791,758.34571,"C40H47N5O10",0.0,0.0,963.0863647460938,3122.856201171875,9587.3759765625,2470.165283203125,0.0,0.0,0.0,0.0,0.0,2976.206787109375,10877.587890625,2646.1953125,0.0,905.5510864257812,0.0,3298.47119140625,9984.39453125,0.0,2544.676025390625
"626.36346 Da 335.02 s",5.583665,627.37074,"C33H54O11",0.0,0.0,0.0,611.6171875,1663.2755126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.043212890625,418.6990966796875,0.0,0.0,0.0,0.0,2173.08154296875,0.0,0.0
"1236.55250 Da 335.48 s",5.591349,619.28353,"C28H85N24O26PS",0.0,2021.7647705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2493.10693359375,0.0,0.0,0.0,0.0,0.0,0.0,2927.818603515625,0.0,0.0,0.0,0.0
"1236.05077 Da 335.55 s",5.592428,619.03266,"C34H57N2O27P9S",0.0,3140.50390625,0.0,0.0,0.0,0.0,799.147216796875,0.0,0.0,3215.865234375,0.0,0.0,0.0,0.0,0.0,0.0,2661.7529296875,0.0,0.0,0.0,0.0
"825.03268 Da 335.65 s",5.594200,826.03996,"C14H27KN15O16P3S",0.0,4460.1171875,0.0,0.0,0.0,0.0,1261.362548828125,0.0,888.2574462890625,5713.77099609375,0.0,0.0,0.0,0.0,0.0,0.0,5343.96875,0.0,0.0,1032.4156494140625,0.0
"825.36766 Da 335.65 s",5.594215,826.37494,"C26H63Cl4N13O8",0.0,2558.225830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.412109375,0.0,0.0,0.0,0.0,0.0,0.0,2512.631591796875,0.0,0.0,0.0,0.0
"2471.09582 Da 335.68 s",5.594646,824.70588,,0.0,16542.43359375,0.0,0.0,0.0,0.0,4109.0546875,0.0,3809.283447265625,19474.587890625,0.0,0.0,0.0,0.0,0.0,0.0,19594.521484375,0.0,0.0,3942.46240234375,0.0
"1235.55143 Da 335.76 s",5.595967,618.78299,"C66H75N15O6P2",0.0,2207.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.38623046875,0.0,0.0,0.0,0.0,0.0,0.0,2272.466552734375,0.0,0.0,0.0,0.0
"538.03687 Da 335.78 s",5.596302,539.04415,"C15H28ClN4O5PS4",0.0,1486.660888671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1706.374755859375,0.0,0.0,0.0,0.0,0.0,0.0,1979.37158203125,0.0,0.0,0.0,0.0
"242.12600 Da 335.85 s",5.597437,243.13328,"C11H18N2O4",0.0,0.0,0.0,0.0,2203.7109375,687.1033325195312,0.0,0.0,0.0,0.0,0.0,1835.3055419921875,2216.641845703125,0.0,0.0,608.409423828125,0.0,2155.28125,2194.20068359375,0.0,635.9945068359375
"527.24105 Da 335.89 s",5.598192,528.24833,"C28H37N3O5S",0.0,0.0,1286.3570556640625,4275.271484375,4411.8818359375,953.6813354492188,0.0,0.0,0.0,0.0,1038.3927001953125,4102.48828125,4460.58154296875,1093.5772705078125,0.0,1225.6610107421875,0.0,3997.72998046875,3867.489013671875,0.0,1015.6287841796875
"1158.64032 Da 335.97 s",5.599425,580.32743,"C55H93N12O9P3",0.0,0.0,1532.04638671875,4963.0361328125,6185.13330078125,1728.263916015625,0.0,0.0,0.0,0.0,1773.062255859375,4365.65869140625,6969.6923828125,1842.466552734375,0.0,1340.0947265625,0.0,4731.35791015625,6290.6513671875,0.0,1812.1304931640625
"772.41328 Da 335.98 s",5.599689,773.42055,"C20H57N18O12P",0.0,0.0,0.0,962.28662109375,1501.8076171875,314.778076171875,0.0,0.0,0.0,0.0,0.0,868.5475463867188,1880.9031982421875,385.7598571777344,0.0,0.0,0.0,949.5816650390625,1617.5001220703125,0.0,343.31280517578125
"452.26324 Da 336.01 s",5.600244,453.27051,"C22H36N4O6",0.0,0.0,0.0,1264.167724609375,1677.8233642578125,0.0,0.0,0.0,0.0,0.0,0.0,1414.100830078125,1748.6614990234375,0.0,0.0,0.0,0.0,0.0,1343.190673828125,0.0,0.0
"824.69975 Da 336.11 s",5.601759,825.70703,"C11H25BrCl8K5N7O",0.0,8726.900390625,0.0,0.0,0.0,0.0,2338.470703125,0.0,2010.72412109375,10704.181640625,0.0,0.0,0.0,0.0,0.0,0.0,9647.3232421875,0.0,0.0,2040.3819580078125,0.0
"535.20858 Da 336.27 s",5.604419,536.21586,"C16H44NO12P3",0.0,0.0,841.1639404296875,2192.783935546875,2112.88916015625,1009.2941284179688,0.0,0.0,0.0,0.0,877.0166625976562,1912.6641845703125,2037.3282470703125,984.0784912109375,0.0,1017.38134765625,0.0,2020.4527587890625,2409.788330078125,0.0,1078.15673828125
"538.23627 Da 336.45 s",5.607500,539.24355,"C30H30N6O4",0.0,1258.446533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1422.0089111328125,0.0,0.0,0.0,0.0,0.0,0.0,1622.5291748046875,0.0,0.0,0.0,0.0
"1327.61682 Da 337.39 s",5.623165,664.81569,"C53H110N3O24P5",0.0,0.0,0.0,1822.661865234375,2594.791748046875,0.0,0.0,0.0,0.0,0.0,0.0,2635.932861328125,2276.619140625,700.687255859375,0.0,0.0,0.0,1692.5108642578125,2289.531982421875,0.0,710.3888549804688
"1414.71935 Da 337.51 s",5.625141,708.36695,"C52H110KN22O13P3S",0.0,0.0,444.6284484863281,1882.668701171875,1696.6802978515625,0.0,0.0,0.0,0.0,0.0,0.0,1368.056884765625,1851.490234375,0.0,0.0,0.0,0.0,1417.9364013671875,1774.61328125,0.0,0.0
"1263.61155 Da 337.60 s",5.626742,632.81305,"C45H75N35O6P2",0.0,0.0,592.4458618164062,2474.228271484375,2395.3525390625,695.786865234375,0.0,0.0,0.0,0.0,700.4766845703125,2313.716796875,2371.994384765625,696.4700927734375,0.0,594.5997924804688,0.0,2006.1754150390625,2013.596435546875,0.0,603.1233520507812
"786.42775 Da 337.82 s",5.630293,787.43503,"C30H64N10O10P2",0.0,0.0,0.0,675.2369995117188,1399.940673828125,355.8133544921875,0.0,0.0,0.0,0.0,0.0,0.0,1776.7735595703125,0.0,0.0,0.0,0.0,767.059814453125,1646.79248046875,0.0,0.0
"1629.84015 Da 337.97 s",5.632881,544.28733,"C39H119N39O25S3",0.0,0.0,0.0,1099.4439697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.787841796875,2425.44140625,488.7711181640625,0.0,427.1089172363281,0.0,1805.479248046875,2229.659423828125,0.0,475.5257263183594
"1089.51799 Da 338.06 s",5.634269,545.76627,"C50H73N15O9P2",0.0,0.0,0.0,1320.934326171875,2194.0830078125,0.0,0.0,0.0,0.0,0.0,0.0,1753.0450439453125,1737.6175537109375,0.0,0.0,0.0,0.0,1673.9658203125,2083.522705078125,0.0,0.0
"491.24535 Da 338.27 s",5.637779,492.25263,"C14H42N3O13P",0.0,0.0,1345.4093017578125,3898.37890625,4522.77099609375,1193.083984375,0.0,0.0,0.0,0.0,1324.368408203125,3970.093505859375,4317.189453125,1221.6650390625,0.0,1566.647705078125,0.0,3946.576904296875,0.0,0.0,1305.60107421875
"552.79539 Da 338.42 s",5.640306,553.80266,"C11H8BrClNO10P3S",0.0,0.0,0.0,847.9617919921875,1592.9324951171875,0.0,0.0,0.0,0.0,0.0,0.0,793.0298461914062,1105.158935546875,0.0,0.0,0.0,0.0,1011.3628540039062,1050.4521484375,0.0,0.0
"508.01977 Da 338.45 s",5.640798,509.02705,"C25H24ClK3S",0.0,6392.38232421875,0.0,0.0,0.0,0.0,2429.93505859375,0.0,2388.733642578125,6903.91552734375,0.0,0.0,0.0,0.0,0.0,0.0,6940.0732421875,0.0,0.0,2124.474853515625,0.0
"662.37374 Da 338.62 s",5.643650,663.38102,"C28H42N18O2",0.0,0.0,361.3207092285156,1855.56591796875,2657.563232421875,504.1474914550781,0.0,0.0,0.0,0.0,372.368896484375,2260.83837890625,3071.502685546875,423.2940368652344,0.0,434.8135070800781,0.0,2091.563720703125,2825.6552734375,0.0,439.2078552246094
"1104.59319 Da 338.81 s",5.646768,553.30387,"C55H80N10O14",0.0,0.0,0.0,888.069580078125,1409.2330322265625,0.0,0.0,0.0,0.0,0.0,0.0,934.4715576171875,1099.121337890625,0.0,0.0,0.0,0.0,1129.1307373046875,1537.92333984375,0.0,0.0
"683.14669 Da 338.85 s",5.647451,684.15397,"C36H29NO11S",0.0,1865.0548095703125,0.0,0.0,0.0,0.0,1244.99658203125,0.0,1026.63232421875,1891.556396484375,0.0,0.0,0.0,0.0,0.0,0.0,1924.335693359375,0.0,0.0,886.593017578125,0.0
